                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.51357,                 1.1356,                0.84584,                 1.0412,                0.86176,                0.76849,                0.85977,                0.72573,                0.85471,                0.76104,                0.84818,                0.71968,                0.61632,                 1.3038,                0.82775,                 1.1463,             0.00051777,             0.00051777,             0.00051777
                     35,                0.52674,                 1.1491,                0.82249,                 1.0442,                0.75405,                0.71715,                 0.7893,                0.66623,                0.75063,                0.71271,                 0.7762,                0.66239,                0.63571,                 1.3634,                 1.0044,                  1.169,             0.00051015,             0.00051015,             0.00051015
                     36,                0.51524,                 1.1602,                0.82026,                 1.0469,                 0.8271,                0.75916,                0.83374,                0.71937,                0.81713,                0.76089,                0.82422,                0.70439,                0.61365,                  1.364,                0.91481,                 1.1553,             0.00050254,             0.00050254,             0.00050254
                     37,                0.51791,                 1.1313,                0.82132,                 1.0411,                0.81081,                0.75675,                0.83522,                0.71202,                0.81113,                0.75711,                0.83163,                0.70417,                0.61136,                 1.3198,                0.86728,                 1.1402,             0.00049493,             0.00049493,             0.00049493
                     38,                0.51434,                 1.1252,                0.81511,                 1.0397,                0.78043,                0.72791,                0.80306,                0.68411,                0.77843,                0.72509,                0.79636,                 0.6734,                0.62526,                 1.3205,                0.93103,                  1.151,             0.00048732,             0.00048732,             0.00048732
                     39,                0.50085,                 1.1314,                 0.8053,                 1.0348,                0.77879,                0.77386,                 0.8138,                0.70098,                0.80097,                  0.744,                0.81069,                0.69235,                0.60229,                 1.2965,                 0.8986,                 1.1248,              0.0004797,              0.0004797,              0.0004797
                     40,                0.51412,                  1.117,                0.79549,                 1.0375,                0.84403,                0.75613,                0.84097,                0.71466,                0.84223,                0.75356,                0.83227,                0.71034,                0.61991,                 1.3097,                0.84787,                  1.148,             0.00047209,             0.00047209,             0.00047209
                     41,                0.50923,                 1.1091,                0.79638,                 1.0416,                0.83856,                0.75446,                0.84699,                0.72984,                0.83623,                0.75328,                0.83793,                0.71595,                0.60875,                 1.3044,                0.85063,                  1.128,             0.00046448,             0.00046448,             0.00046448
                     42,                0.49732,                  1.111,                0.77287,                 1.0326,                0.80281,                0.70812,                0.79134,                0.67845,                0.81296,                0.68669,                0.77783,                0.65155,                0.60972,                  1.403,                 1.0724,                 1.1398,             0.00045686,             0.00045686,             0.00045686
                     43,                0.49924,                 1.1014,                0.75623,                 1.0318,                0.82659,                0.74691,                0.83235,                 0.7147,                0.82316,                0.74461,                0.82287,                0.70929,                0.59359,                 1.2592,                0.84702,                 1.1274,             0.00044925,             0.00044925,             0.00044925
                     44,                0.49026,                 1.0679,                0.73351,                  1.026,                0.82484,                0.80584,                0.84956,                0.73683,                 0.8283,                0.79111,                0.83935,                0.72551,                0.58382,                 1.2904,                0.81811,                 1.1095,             0.00044164,             0.00044164,             0.00044164
                     45,                0.49339,                 1.0663,                0.73275,                   1.03,                0.87232,                0.76303,                0.85985,                0.74557,                0.87206,                0.75961,                0.84825,                0.73295,                0.57625,                 1.2752,                0.78945,                 1.1062,             0.00043402,             0.00043402,             0.00043402
                     46,                0.49445,                 1.0467,                0.72618,                 1.0233,                 0.8326,                0.77432,                0.85081,                0.73799,                0.83423,                0.77239,                0.84483,                0.72581,                0.59929,                 1.2446,                0.79775,                 1.1209,             0.00042641,             0.00042641,             0.00042641
                     47,                0.49015,                 1.0698,                0.73344,                 1.0253,                0.85683,                0.77573,                0.85195,                0.74247,                0.85004,                0.77612,                0.83972,                0.72485,                0.57936,                 1.3739,                0.82775,                 1.1106,              0.0004188,              0.0004188,              0.0004188
                     48,                0.48288,                 1.0665,                  0.734,                 1.0248,                0.85014,                0.74086,                0.83505,                0.71956,                0.84518,                0.73729,                0.82465,                0.70607,                0.59691,                 1.2419,                0.90847,                 1.1263,             0.00041118,             0.00041118,             0.00041118
                     49,                0.48102,                 1.0288,                0.70081,                 1.0167,                 0.8398,                0.75205,                0.84114,                0.72825,                0.83039,                0.74406,                0.82749,                 0.7109,                0.57537,                 1.2943,                0.87684,                 1.1201,             0.00040357,             0.00040357,             0.00040357
                     50,                0.47514,                  1.039,                0.71302,                 1.0118,                0.88517,                0.77784,                0.86498,                0.75105,                0.88542,                0.77455,                0.85512,                0.73342,                 0.5801,                 1.2675,                 0.7559,                 1.1115,             0.00039596,             0.00039596,             0.00039596
                     51,                0.48135,                 1.0593,                0.70552,                 1.0194,                0.87001,                0.77581,                0.85629,                0.74594,                0.86966,                 0.7785,                 0.8515,                0.73355,                0.58355,                 1.2601,                0.81791,                 1.1114,             0.00038835,             0.00038835,             0.00038835
                     52,                0.47075,                 1.0198,                0.69562,                  1.015,                0.85536,                0.76723,                0.84074,                0.72766,                0.85207,                 0.7628,                0.83349,                0.72275,                0.58022,                   1.27,                0.82123,                 1.1229,             0.00038073,             0.00038073,             0.00038073
                     53,                0.47109,                 1.0207,                0.68186,                 1.0131,                 0.8587,                0.75345,                0.84965,                0.74012,                0.85551,                0.74669,                0.83871,                0.72716,                0.57973,                 1.2733,                0.78849,                 1.1074,             0.00037312,             0.00037312,             0.00037312
